person_age,age_band,person_income,income_band,person_home_ownership,person_emp_length,employment_category,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,loan_to_income_pct,cb_person_default_on_file,cb_person_cred_hist_length,exposure_at_default,loss_given_default
26,Adult,43000,Medium_Income,RENT,3,Junior_Employee,EDUCATION,C,2500,13.49,0,0.06,5.81,N,2,2500,0.60
25,Adult,42000,Medium_Income,RENT,2,New_Employee,MEDICAL,C,6500,13.49,0,0.15,15.48,Y,3,6500,0.60
26,Adult,38400,Medium_Income,RENT,2,New_Employee,MEDICAL,B,7200,9.91,0,0.19,18.75,N,2,7200,0.60
25,Adult,60000,Medium_Income,OWN,9,Mid_Employee,MEDICAL,A,16000,7.88,0,0.27,26.67,N,4,16000,0.60
22,Young_Adult,26400,Low_Income,RENT,0,New_Employee,VENTURE,C,10000,13.49,1,0.38,37.88,N,3,10000,0.60
25,Adult,100000,High_Income,MORTGAGE,9,Mid_Employee,MEDICAL,B,14000,10.25,0,0.14,14.00,N,2,14000,0.60
25,Adult,25000,Low_Income,OWN,9,Mid_Employee,VENTURE,A,6000,7.51,0,0.24,24.00,N,2,6000,0.60
23,Young_Adult,31200,Medium_Income,RENT,0,New_Employee,MEDICAL,E,15250,17.93,1,0.49,48.88,N,2,15250,0.60
26,Adult,87996,High_Income,MORTGAGE,3,Junior_Employee,MEDICAL,A,8000,6.91,0,0.09,9.09,N,3,8000,0.60
27,Adult,20000,Low_Income,RENT,2,New_Employee,MEDICAL,B,4000,10.65,0,0.2,20.00,N,8,4000,0.60
30,Adult,50000,Medium_Income,OWN,4,Junior_Employee,VENTURE,C,3000,14.22,0,0.06,6.00,Y,10,3000,0.60
34,Adult,34000,Medium_Income,RENT,0,New_Employee,PERSONAL,A,8000,7.9,0,0.24,23.53,N,7,8000,0.60
32,Adult,117000,High_Income,RENT,0,New_Employee,PERSONAL,E,12000,17.93,1,0.1,10.26,Y,10,12000,0.60
29,Adult,25000,Low_Income,OWN,8,Mid_Employee,MEDICAL,C,6500,13.49,0,0.26,26.00,N,9,6500,0.60
32,Adult,86000,High_Income,RENT,4,Junior_Employee,EDUCATION,C,1600,13.23,0,0.02,1.86,Y,9,1600,0.60
39,Adult,360000,Very_High_Income,RENT,1,New_Employee,PERSONAL,B,3000,11.48,0,0.01,0.83,N,12,3000,0.60
40,Adult,45760,Medium_Income,RENT,8,Mid_Employee,MEDICAL,B,13650,10.25,0,0.3,29.83,N,13,13650,0.60
26,Adult,85500,High_Income,RENT,0,New_Employee,EDUCATION,A,10000,11,0,0.12,11.70,N,2,10000,0.60
26,Adult,36000,Medium_Income,RENT,4,Junior_Employee,VENTURE,A,5400,8.9,0,0.15,15.00,N,2,5400,0.60
32,Adult,42000,Medium_Income,RENT,3,Junior_Employee,PERSONAL,B,2400,9.62,0,0.06,5.71,N,7,2400,0.60
27,Adult,44000,Medium_Income,RENT,6,Mid_Employee,VENTURE,A,4800,7.51,0,0.11,10.91,N,10,4800,0.60
32,Adult,59363,Medium_Income,RENT,2,New_Employee,PERSONAL,C,6000,13.22,0,0.1,10.11,Y,10,6000,0.60
35,Adult,17280,Low_Income,RENT,6,Mid_Employee,VENTURE,D,7200,12.36,1,0.42,41.67,Y,8,7200,0.60
29,Adult,52000,Medium_Income,RENT,3,Junior_Employee,VENTURE,A,8400,5.79,0,0.16,16.15,N,6,8400,0.60
37,Adult,24000,Low_Income,RENT,4,Junior_Employee,MEDICAL,A,7000,6.92,0,0.29,29.17,N,14,7000,0.60
41,Middle_Age,62000,Medium_Income,RENT,3,Junior_Employee,MEDICAL,B,7500,11.36,0,0.12,12.10,N,16,7500,0.60
69,Senior,24000,Low_Income,RENT,3,Junior_Employee,MEDICAL,A,6000,6.62,0,0.25,25.00,N,23,6000,0.60
25,Adult,125000,High_Income,RENT,0,New_Employee,VENTURE,A,15000,11,0,0.12,12.00,N,3,15000,0.60
25,Adult,54000,Medium_Income,RENT,1,New_Employee,PERSONAL,A,3600,11,1,0.07,6.67,N,3,3600,0.60
25,Adult,45000,Medium_Income,RENT,0,New_Employee,MEDICAL,A,12000,7.66,0,0.27,26.67,N,4,12000,0.60
26,Adult,87500,High_Income,OTHER,3,Junior_Employee,VENTURE,D,7500,15.05,0,0.09,8.57,Y,2,7500,0.60
28,Adult,140000,High_Income,OWN,12,Senior_Employee,VENTURE,D,18000,16.29,0,0.13,12.86,N,7,18000,0.60
25,Adult,42000,Medium_Income,RENT,3,Junior_Employee,EDUCATION,A,8000,11,0,0.19,19.05,N,4,8000,0.60
33,Adult,63550,Medium_Income,RENT,6,Mid_Employee,MEDICAL,A,6000,11,0,0.09,9.44,N,8,6000,0.60
21,Young_Adult,9600,Low_Income,OWN,5,Junior_Employee,EDUCATION,B,1000,11.14,0,0.1,10.42,N,2,1000,0.60
25,Adult,9600,Low_Income,MORTGAGE,1,New_Employee,MEDICAL,C,5500,12.87,1,0.57,57.29,N,3,5500,0.60
23,Young_Adult,65500,Medium_Income,RENT,4,Junior_Employee,MEDICAL,C,35000,15.23,1,0.53,53.44,N,2,35000,0.60
24,Young_Adult,54400,Medium_Income,RENT,8,Mid_Employee,MEDICAL,C,35000,14.27,1,0.55,64.34,Y,4,35000,0.60
21,Young_Adult,9900,Low_Income,OWN,2,New_Employee,VENTURE,A,2500,7.14,1,0.25,25.25,N,2,2500,0.60
26,Adult,77100,High_Income,RENT,8,Mid_Employee,EDUCATION,B,35000,12.42,1,0.45,45.40,N,3,35000,0.60
24,Young_Adult,78956,High_Income,RENT,5,Junior_Employee,MEDICAL,B,35000,11.11,1,0.44,44.33,N,4,35000,0.60
24,Young_Adult,83000,High_Income,RENT,8,Mid_Employee,PERSONAL,A,35000,8.9,1,0.42,42.17,N,2,35000,0.60
21,Young_Adult,10000,Low_Income,OWN,6,Mid_Employee,VENTURE,D,1600,14.74,1,0.16,16.00,N,3,1600,0.60
22,Young_Adult,85000,High_Income,RENT,6,Mid_Employee,VENTURE,B,35000,10.37,1,0.41,41.18,N,4,35000,0.60
21,Young_Adult,10000,Low_Income,OWN,2,New_Employee,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,45.00,N,2,4500,0.60
23,Young_Adult,95000,High_Income,RENT,2,New_Employee,VENTURE,A,35000,7.9,1,0.37,36.84,N,2,35000,0.60
26,Adult,108160,High_Income,RENT,4,Junior_Employee,EDUCATION,E,35000,18.39,1,0.32,32.36,N,4,35000,0.60
23,Young_Adult,115000,High_Income,RENT,2,New_Employee,EDUCATION,A,35000,7.9,0,0.3,30.43,N,4,35000,0.60
23,Young_Adult,500000,Very_High_Income,MORTGAGE,7,Mid_Employee,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,6.00,N,3,30000,0.60
23,Young_Adult,120000,High_Income,RENT,0,New_Employee,EDUCATION,A,35000,7.9,0,0.29,29.17,N,4,35000,0.60
23,Young_Adult,92111,High_Income,RENT,7,Mid_Employee,MEDICAL,F,35000,20.25,1,0.32,38.00,N,4,35000,0.60
23,Young_Adult,113000,High_Income,RENT,8,Mid_Employee,DEBTCONSOLIDATION,D,35000,18.25,1,0.31,30.97,N,4,35000,0.60
24,Young_Adult,10800,Low_Income,MORTGAGE,8,Mid_Employee,EDUCATION,B,1750,10.99,1,0.16,16.20,N,2,1750,0.60
25,Adult,162500,Very_High_Income,RENT,2,New_Employee,VENTURE,A,35000,7.49,0,0.22,21.54,N,4,35000,0.60
25,Adult,137000,High_Income,RENT,9,Mid_Employee,PERSONAL,E,34800,16.77,0,0.25,25.40,Y,2,34800,0.60
22,Young_Adult,65000,Medium_Income,RENT,4,Junior_Employee,EDUCATION,D,34000,17.58,1,0.52,52.31,N,4,34000,0.60
24,Young_Adult,10980,Low_Income,OWN,0,New_Employee,PERSONAL,A,1500,7.29,0,0.14,13.66,N,3,1500,0.60
22,Young_Adult,80000,High_Income,RENT,3,Junior_Employee,PERSONAL,D,33950,14.54,1,0.42,42.44,Y,4,33950,0.60
24,Young_Adult,67746,Medium_Income,RENT,8,Mid_Employee,HOMEIMPROVEMENT,C,33000,12.68,1,0.49,48.71,N,3,33000,0.60
21,Young_Adult,11000,Low_Income,MORTGAGE,3,Junior_Employee,VENTURE,E,4575,17.74,1,0.42,41.59,Y,3,4575,0.60
23,Young_Adult,11000,Low_Income,OWN,0,New_Employee,PERSONAL,A,1400,9.32,0,0.13,12.73,N,3,1400,0.60
24,Young_Adult,65000,Medium_Income,RENT,6,Mid_Employee,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,50.00,N,3,32500,0.60
21,Young_Adult,11389,Low_Income,OTHER,5,Junior_Employee,EDUCATION,C,4000,12.84,1,0.35,35.12,Y,2,4000,0.60
21,Young_Adult,11520,Low_Income,OWN,5,Junior_Employee,MEDICAL,B,2000,11.12,1,0.17,17.36,N,3,2000,0.60
25,Adult,120000,High_Income,RENT,2,New_Employee,VENTURE,A,32000,6.62,0,0.27,26.67,N,2,32000,0.60
26,Adult,95000,High_Income,RENT,7,Mid_Employee,HOMEIMPROVEMENT,C,31050,14.17,1,0.33,32.68,Y,3,31050,0.60
25,Adult,306000,Very_High_Income,RENT,2,New_Employee,DEBTCONSOLIDATION,C,24250,13.85,0,0.08,7.92,N,3,24250,0.60
26,Adult,300000,Very_High_Income,MORTGAGE,10,Mid_Employee,MEDICAL,C,7800,13.49,0,0.03,2.60,N,4,7800,0.60
21,Young_Adult,12000,Low_Income,OWN,5,Junior_Employee,EDUCATION,A,2500,7.51,1,0.21,20.83,N,4,2500,0.60
22,Young_Adult,48000,Medium_Income,RENT,1,New_Employee,EDUCATION,E,30000,18.39,1,0.63,62.50,N,2,30000,0.60
24,Young_Adult,64000,Medium_Income,RENT,8,Mid_Employee,DEBTCONSOLIDATION,D,30000,14.54,1,0.47,46.88,Y,3,30000,0.60
25,Adult,75000,High_Income,RENT,4,Junior_Employee,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,40.00,Y,4,30000,0.60
26,Adult,62050,Medium_Income,RENT,6,Mid_Employee,MEDICAL,E,30000,17.99,1,0.41,48.35,N,2,30000,0.60
24,Young_Adult,12000,Low_Income,OWN,4,Junior_Employee,VENTURE,B,2500,12.69,1,0.21,20.83,N,3,2500,0.60
26,Adult,300000,Very_High_Income,MORTGAGE,10,Mid_Employee,VENTURE,A,20000,7.88,0,0.07,6.67,N,4,20000,0.60
23,Young_Adult,300000,Very_High_Income,OWN,1,New_Employee,EDUCATION,F,24250,19.41,0,0.08,8.08,Y,2,24250,0.60
26,Adult,300000,Very_High_Income,OWN,9,Mid_Employee,HOMEIMPROVEMENT,B,10000,10.38,0,0.03,3.33,N,4,10000,0.60
26,Adult,300000,Very_High_Income,MORTGAGE,0,New_Employee,EDUCATION,D,25000,15.33,0,0.08,8.33,N,3,25000,0.60
25,Adult,300000,Very_High_Income,MORTGAGE,9,Mid_Employee,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,6.00,N,3,18000,0.60
26,Adult,80690,High_Income,RENT,8,Mid_Employee,PERSONAL,A,30000,7.49,1,0.37,37.18,N,3,30000,0.60
22,Young_Adult,66300,Medium_Income,RENT,4,Junior_Employee,MEDICAL,B,30000,12.69,1,0.38,45.25,N,3,30000,0.60
26,Adult,89028,High_Income,RENT,0,New_Employee,DEBTCONSOLIDATION,A,30000,6.62,1,0.34,33.70,N,3,30000,0.60
23,Young_Adult,78000,High_Income,RENT,7,Mid_Employee,DEBTCONSOLIDATION,F,30000,18.62,1,0.38,38.46,Y,3,30000,0.60
23,Young_Adult,92004,High_Income,RENT,6,Mid_Employee,PERSONAL,C,30000,15.23,1,0.33,32.61,Y,3,30000,0.60
23,Young_Adult,97000,High_Income,RENT,7,Mid_Employee,VENTURE,B,30000,10.65,1,0.31,30.93,N,2,30000,0.60
25,Adult,120000,High_Income,RENT,9,Mid_Employee,EDUCATION,A,30000,7.9,0,0.25,25.00,N,4,30000,0.60
26,Adult,280000,Very_High_Income,RENT,4,Junior_Employee,PERSONAL,C,10000,15.96,0,0.04,3.57,Y,3,10000,0.60
26,Adult,277104,Very_High_Income,RENT,0,New_Employee,VENTURE,B,20000,11.48,0,0.07,7.22,N,3,20000,0.60
25,Adult,128000,High_Income,RENT,9,Mid_Employee,PERSONAL,A,30000,7.29,0,0.23,23.44,N,4,30000,0.60
21,Young_Adult,131000,High_Income,RENT,0,New_Employee,VENTURE,A,30000,5.99,0,0.23,22.90,N,4,30000,0.60
22,Young_Adult,275000,Very_High_Income,OWN,6,Mid_Employee,VENTURE,B,12000,11.58,0,0.04,4.36,N,2,12000,0.60
25,Adult,221850,Very_High_Income,MORTGAGE,9,Mid_Employee,MEDICAL,D,25000,15.7,1,0.1,11.27,N,2,25000,0.60
22,Young_Adult,70000,Medium_Income,RENT,6,Mid_Employee,EDUCATION,D,29100,15.99,1,0.42,41.57,N,3,29100,0.60
22,Young_Adult,12000,Low_Income,MORTGAGE,7,Mid_Employee,EDUCATION,D,1500,14.84,0,0.13,12.50,Y,3,1500,0.60
26,Adult,260000,Very_High_Income,OWN,10,Mid_Employee,HOMEIMPROVEMENT,B,28000,10.99,0,0.11,10.77,N,3,28000,0.60
25,Adult,259000,Very_High_Income,MORTGAGE,9,Mid_Employee,HOMEIMPROVEMENT,D,20000,14.42,0,0.08,7.72,Y,2,20000,0.60
24,Young_Adult,255000,Very_High_Income,MORTGAGE,9,Mid_Employee,EDUCATION,A,9600,6.99,0,0.04,3.76,N,2,9600,0.60
25,Adult,250000,Very_High_Income,RENT,2,New_Employee,MEDICAL,C,25000,13.49,0,0.1,10.00,N,4,25000,0.60
21,Young_Adult,12000,Low_Income,OWN,6,Mid_Employee,EDUCATION,C,3000,13.61,1,0.25,25.00,Y,3,3000,0.60
23,Young_Adult,65000,Medium_Income,RENT,2,New_Employee,EDUCATION,A,28000,7.9,1,0.43,43.08,N,2,28000,0.60
26,Adult,85000,High_Income,RENT,2,New_Employee,VENTURE,A,28000,7.49,1,0.33,32.94,N,3,28000,0.60
26,Adult,12000,Low_Income,OWN,2,New_Employee,EDUCATION,A,6100,7.51,1,0.51,50.83,N,3,6100,0.60
22,Young_Adult,88000,High_Income,RENT,6,Mid_Employee,VENTURE,B,28000,9.91,1,0.32,31.82,N,3,28000,0.60
21,Young_Adult,12000,Low_Income,OWN,0,New_Employee,PERSONAL,C,4200,13.48,1,0.35,35.00,Y,4,4200,0.60
22,Young_Adult,12000,Low_Income,OWN,6,Mid_Employee,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,39.58,N,2,4750,0.60
24,Young_Adult,83004,High_Income,RENT,0,New_Employee,VENTURE,D,28000,15.99,1,0.34,33.73,Y,4,28000,0.60
24,Young_Adult,250000,Very_High_Income,RENT,2,New_Employee,EDUCATION,C,18000,12.98,0,0.07,7.20,Y,3,18000,0.60
25,Adult,100000,High_Income,RENT,5,Junior_Employee,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,28.00,N,3,28000,0.60
26,Adult,110000,High_Income,RENT,10,Mid_Employee,EDUCATION,A,28000,8.9,0,0.25,25.45,N,2,28000,0.60
23,Young_Adult,151200,Very_High_Income,RENT,7,Mid_Employee,DEBTCONSOLIDATION,B,28000,11.11,0,0.19,18.52,N,2,28000,0.60
21,Young_Adult,12000,Low_Income,MORTGAGE,5,Junior_Employee,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,27.08,Y,3,3250,0.60
22,Young_Adult,70000,Medium_Income,RENT,4,Junior_Employee,EDUCATION,C,27500,13.06,1,0.39,39.29,Y,3,27500,0.60
26,Adult,73200,High_Income,RENT,5,Junior_Employee,VENTURE,D,27050,15.62,1,0.37,36.95,Y,2,27050,0.60
24,Young_Adult,83000,High_Income,RENT,5,Junior_Employee,PERSONAL,C,27000,13.49,1,0.33,32.53,Y,2,27000,0.60
23,Young_Adult,62500,Medium_Income,RENT,7,Mid_Employee,MEDICAL,B,26000,11.71,1,0.42,41.60,N,2,26000,0.60
23,Young_Adult,120000,High_Income,RENT,1,New_Employee,EDUCATION,B,25600,12.69,0,0.21,21.33,N,3,25600,0.60
24,Young_Adult,12360,Low_Income,OWN,2,New_Employee,MEDICAL,C,1600,13.57,0,0.13,12.94,N,3,1600,0.60
22,Young_Adult,60000,Medium_Income,RENT,0,New_Employee,VENTURE,B,25475,10.99,1,0.42,42.46,N,3,25475,0.60
25,Adult,234000,Very_High_Income,MORTGAGE,3,Junior_Employee,MEDICAL,C,20000,14.27,0,0.09,8.55,Y,4,20000,0.60
24,Young_Adult,234000,Very_High_Income,OWN,8,Mid_Employee,HOMEIMPROVEMENT,B,20000,8.88,0,0.09,8.55,N,4,20000,0.60
26,Adult,234000,Very_High_Income,MORTGAGE,10,Mid_Employee,HOMEIMPROVEMENT,B,21600,12.18,0,0.09,9.23,N,3,21600,0.60
25,Adult,221004,Very_High_Income,MORTGAGE,6,Mid_Employee,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,5.38,Y,3,11900,0.60
26,Adult,232500,Very_High_Income,MORTGAGE,0,New_Employee,MEDICAL,C,25000,14.17,0,0.11,10.75,Y,2,25000,0.60
25,Adult,230000,Very_High_Income,MORTGAGE,5,Junior_Employee,MEDICAL,C,35000,13.99,0,0.15,15.22,N,4,35000,0.60
23,Young_Adult,83000,High_Income,RENT,7,Mid_Employee,EDUCATION,B,25300,10.99,1,0.3,30.48,N,3,25300,0.60
25,Adult,12600,Low_Income,OWN,3,Junior_Employee,PERSONAL,C,1750,13.61,0,0.14,13.89,N,3,1750,0.60
21,Young_Adult,42500,Medium_Income,RENT,3,Junior_Employee,EDUCATION,C,25000,12.73,1,0.59,58.82,Y,3,25000,0.60
25,Adult,12816,Low_Income,OWN,0,New_Employee,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,23.41,Y,4,3000,0.60
24,Young_Adult,12960,Low_Income,MORTGAGE,1,New_Employee,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,28.16,N,3,3650,0.60
26,Adult,226000,Very_High_Income,MORTGAGE,4,Junior_Employee,HOMEIMPROVEMENT,B,20000,11.49,0,0.09,8.85,N,4,20000,0.60
25,Adult,225000,Very_High_Income,MORTGAGE,0,New_Employee,HOMEIMPROVEMENT,E,30000,19.91,0,0.13,13.33,Y,2,30000,0.60
26,Adult,213000,Very_High_Income,MORTGAGE,6,Mid_Employee,EDUCATION,B,35000,10.65,1,0.16,16.43,N,2,35000,0.60
24,Young_Adult,12960,Low_Income,MORTGAGE,0,New_Employee,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,34.72,N,4,4500,0.60
23,Young_Adult,12996,Low_Income,OWN,0,New_Employee,DEBTCONSOLIDATION,C,2400,13.49,1,0.18,18.47,Y,2,2400,0.60
22,Young_Adult,42000,Medium_Income,RENT,6,Mid_Employee,MEDICAL,D,25000,14.59,1,0.6,59.52,Y,2,25000,0.60
26,Adult,48000,Medium_Income,RENT,2,New_Employee,EDUCATION,B,25000,9.64,1,0.52,52.08,N,4,25000,0.60
25,Adult,12996,Low_Income,OWN,1,New_Employee,MEDICAL,D,3600,14.59,1,0.28,27.70,N,3,3600,0.60
25,Adult,42360,Medium_Income,RENT,1,New_Employee,EDUCATION,E,25000,16.35,1,0.59,59.02,Y,3,25000,0.60
21,Young_Adult,49000,Medium_Income,RENT,4,Junior_Employee,EDUCATION,B,25000,10.99,1,0.51,51.02,N,2,25000,0.60
25,Adult,225000,Very_High_Income,MORTGAGE,0,New_Employee,VENTURE,F,25000,18.67,0,0.11,11.11,N,2,25000,0.60
26,Adult,225000,Very_High_Income,RENT,1,New_Employee,EDUCATION,A,3000,9.32,0,0.01,1.33,N,4,3000,0.60
23,Young_Adult,225000,Very_High_Income,RENT,8,Mid_Employee,DEBTCONSOLIDATION,A,7500,8.63,0,0.03,3.33,N,2,7500,0.60
26,Adult,225000,Very_High_Income,MORTGAGE,2,New_Employee,VENTURE,B,25000,10.08,0,0.11,11.11,N,2,25000,0.60
22,Young_Adult,49464,Medium_Income,RENT,5,Junior_Employee,PERSONAL,B,25000,11.83,1,0.51,50.54,N,3,25000,0.60
22,Young_Adult,160000,Very_High_Income,RENT,6,Mid_Employee,PERSONAL,A,20000,7.49,0,0.13,12.50,N,4,20000,0.60
23,Young_Adult,50000,Medium_Income,RENT,1,New_Employee,DEBTCONSOLIDATION,A,25000,7.9,1,0.5,50.00,N,3,25000,0.60
25,Adult,50000,Medium_Income,RENT,4,Junior_Employee,HOMEIMPROVEMENT,A,25000,5.99,1,0.5,50.00,N,2,25000,0.60
24,Young_Adult,44000,Medium_Income,RENT,2,New_Employee,DEBTCONSOLIDATION,D,25000,15.33,1,0.57,56.82,N,2,25000,0.60
23,Young_Adult,50000,Medium_Income,RENT,1,New_Employee,VENTURE,B,25000,11.83,1,0.5,50.00,N,4,25000,0.60
22,Young_Adult,50004,Medium_Income,RENT,0,New_Employee,VENTURE,B,25000,10.36,1,0.5,50.00,N,2,25000,0.60
22,Young_Adult,50004,Medium_Income,RENT,3,Junior_Employee,VENTURE,C,25000,12.23,1,0.5,50.00,N,3,25000,0.60
22,Young_Adult,52000,Medium_Income,RENT,2,New_Employee,EDUCATION,B,25000,11.11,1,0.48,48.08,N,4,25000,0.60
23,Young_Adult,13200,Low_Income,OWN,3,Junior_Employee,DEBTCONSOLIDATION,A,4950,7.9,1,0.38,37.50,N,4,4950,0.60
24,Young_Adult,220000,Very_High_Income,MORTGAGE,1,New_Employee,EDUCATION,B,25000,11.58,0,0.11,11.36,N,2,25000,0.60
23,Young_Adult,216000,Very_High_Income,MORTGAGE,5,Junior_Employee,DEBTCONSOLIDATION,A,21000,8.9,0,0.1,9.72,N,3,21000,0.60
25,Adult,216000,Very_High_Income,MORTGAGE,2,New_Employee,EDUCATION,D,25000,16.07,0,0.12,11.57,N,3,25000,0.60
26,Adult,216000,Very_High_Income,MORTGAGE,10,Mid_Employee,EDUCATION,C,20000,14.22,0,0.09,9.26,Y,2,20000,0.60
23,Young_Adult,215000,Very_High_Income,MORTGAGE,7,Mid_Employee,MEDICAL,C,35000,14.79,0,0.16,16.28,Y,3,35000,0.60
26,Adult,215000,Very_High_Income,MORTGAGE,11,Senior_Employee,EDUCATION,A,12000,7.88,0,0.06,5.58,N,2,12000,0.60
23,Young_Adult,52000,Medium_Income,RENT,1,New_Employee,PERSONAL,C,25000,13.22,1,0.48,48.08,N,2,25000,0.60
26,Adult,46000,Medium_Income,RENT,2,New_Employee,DEBTCONSOLIDATION,D,25000,11.86,1,0.54,54.35,N,4,25000,0.60
22,Young_Adult,53000,Medium_Income,RENT,5,Junior_Employee,EDUCATION,C,25000,13.43,1,0.47,47.17,Y,4,25000,0.60
26,Adult,47000,Medium_Income,RENT,0,New_Employee,HOMEIMPROVEMENT,D,25000,15.28,1,0.53,53.19,Y,2,25000,0.60
23,Young_Adult,47000,Medium_Income,RENT,1,New_Employee,VENTURE,E,25000,17.93,1,0.53,53.19,N,2,25000,0.60
23,Young_Adult,13200,Low_Income,MORTGAGE,2,New_Employee,EDUCATION,B,1400,9.25,0,0.11,10.61,N,4,1400,0.60
21,Young_Adult,13200,Low_Income,OWN,0,New_Employee,VENTURE,C,4500,12.98,1,0.34,34.09,N,4,4500,0.60
22,Young_Adult,210000,Very_High_Income,MORTGAGE,6,Mid_Employee,VENTURE,B,16000,10.62,0,0.08,7.62,N,4,16000,0.60
26,Adult,210000,Very_High_Income,OWN,10,Mid_Employee,PERSONAL,B,22000,11.83,0,0.1,10.48,N,4,22000,0.60
26,Adult,48000,Medium_Income,RENT,5,Junior_Employee,VENTURE,F,25000,18.43,1,0.52,52.08,N,2,25000,0.60
23,Young_Adult,55000,Medium_Income,RENT,4,Junior_Employee,EDUCATION,B,25000,11.36,1,0.45,45.45,N,3,25000,0.60
23,Young_Adult,55000,Medium_Income,RENT,4,Junior_Employee,EDUCATION,D,25000,15.65,1,0.45,45.45,Y,3,25000,0.60
24,Young_Adult,55164,Medium_Income,RENT,8,Mid_Employee,PERSONAL,C,25000,13.22,1,0.45,45.32,Y,4,25000,0.60
26,Adult,56000,Medium_Income,RENT,4,Junior_Employee,DEBTCONSOLIDATION,C,25000,12.87,1,0.45,44.64,N,2,25000,0.60
